Node_ID EB_TX EACK_TX DIO_TX DIS_TX DAO_TX DAO_ACK_TX CoAP_TX
1 3182 8892 96 0 0 384 36280
2 3256 1577 96 0 340 0 6503
3 3219 1957 96 0 93 0 6781
4 3219 779 96 0 0.0 0 1533
5 3145 8056 96 0 179 60 47654
6 3182 779 96 0 0.0 0 1460
7 3182 760 96 0 0.0 0 1460
8 3182 3420 96 0 0.0 0 22225
9 3219 2736 96 0 179 60 11637
10 3219 399 96 0 0.0 0 1606
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 384 36280
2 3256 1577 96 0 340 0 6466
3 3219 1957 96 0 93 0 6781
4 3219 779 96 0 0.0 0 1533
5 3182 8056 96 0 179 60 47736
6 3182 779 96 0 0.0 0 1460
7 3182 760 96 0 0.0 0 1460
8 3145 3420 96 0 0.0 0 22104
9 3182 2736 96 0 179 60 11564
10 3219 399 96 0 0.0 0 1606
0 0 0 0 0 0 0 0
1 3145 8892 96 0 0 384 36202
2 3219 1577 96 0 340 0 6466
3 3182 1957 96 0 93 0 6626
4 3219 779 96 0 0.0 0 1533
5 3182 8056 96 0 179 60 47238
6 3182 779 96 0 0.0 0 1460
7 3182 760 96 0 0.0 0 1460
8 3182 3420 96 0 0.0 0 21741
9 3182 2736 96 0 179 60 11491
10 3219 399 96 0 0.0 0 1606
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 384 35909
2 3256 1577 96 0 340 0 6466
3 3182 1957 96 0 93 0 6626
4 3219 779 96 0 0.0 0 1533
5 3145 8056 96 0 179 60 47232
6 3182 779 96 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1460
8 3182 3420 96 0 0.0 0 21862
9 3219 2736 96 0 179 60 11491
10 3182 399 96 0 0.0 0 1460
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 384 35787
2 3256 1577 96 0 340 0 6466
3 3219 1957 96 0 93 0 6626
4 3219 779 96 0 0.0 0 1533
5 3145 8056 96 0 179 60 47232
6 3182 779 96 0 0.0 0 1460
7 3219 779 96 0 0.0 0 1533
8 3182 3420 96 0 0.0 0 21862
9 3182 2736 96 0 179 60 11491
10 3182 399 96 0 0.0 0 1460
0 0 0 0 0 0 0 0
1 3219 8892 96 0 0 384 35787
2 3256 1577 96 0 340 0 6466
3 3219 1957 96 0 93 0 6582
4 3219 779 96 0 0.0 0 1533
5 3108 8056 96 0 179 60 47114
6 3219 779 96 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1533
8 3145 3420 96 0 0.0 0 21741
9 3182 2755 96 0 179 60 11571
10 3145 399 96 0 0.0 0 1460
0 0 0 0 0 0 0 0
1 3219 8892 96 0 0 384 35741
2 3256 1577 96 0 340 0 6466
3 3182 1957 96 0 93 0 6582
4 3219 779 96 0 0.0 0 1533
5 3145 8056 96 0 179 60 47114
6 3219 779 96 0 0.0 0 1460
7 3219 779 96 0 0.0 0 1606
8 3182 3420 96 0 0.0 0 21741
9 3219 2755 96 0 179 60 11571
10 3145 399 96 0 0.0 0 1460
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 384 35741
2 3256 1577 96 0 434 0 6466
3 3219 1957 192 0 93 0 6582
4 3219 779 96 0 0.0 0 1533
5 3145 8056 96 0 179 60 47168
6 3182 779 96 0 0.0 0 1460
7 3219 779 96 0 0.0 0 1606
8 3182 3420 96 0 0.0 0 21741
9 3182 2755 96 0 179 60 11527
10 3145 399 96 0 0.0 0 1460
0 0 0 0 0 0 0 0
1 3219 8892 96 0 0 435 35741
2 3219 1577 96 0 434 60 6466
3 3219 1957 192 0 195 0 6582
4 3219 779 192 0 0.0 0 1533
5 3145 8056 96 0 273 120 47168
6 3219 779 96 0 0.0 0 1460
7 3182 779 96 0 93 0 1606
8 3219 3420 96 0 93 0 21741
9 3256 2755 96 0 273 128 11571
10 3145 399 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 435 36507
2 3219 1577 96 0 434 60 6702
3 3219 1957 96 0 195 68 6582
4 3256 779 192 0 93 0 1533
5 3108 8056 96 0 273 120 48026
6 3182 779 96 0 93 0 1460
7 3182 779 96 0 93 0 1606
8 3182 3420 96 0 93 0 21862
9 3256 2755 192 0 273 128 11571
10 3145 399 192 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 435 36726
2 3219 1577 96 0 434 60 6828
3 3219 1957 96 0 195 68 6582
4 3219 779 192 0 93 0 1533
5 3145 8056 96 0 273 120 48106
6 3182 779 96 0 93 0 1460
7 3219 779 192 0 93 0 1533
8 3182 3420 96 0 93 0 21862
9 3256 2755 192 0 273 128 11489
10 3145 399 192 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8892 96 0 0 435 36604
2 3219 1577 96 0 434 60 6828
3 3182 1957 96 0 195 68 6582
4 3219 779 192 0 93 0 1533
5 3145 8056 96 0 273 120 48150
6 3182 779 96 0 93 0 1460
7 3219 779 192 0 93 0 1533
8 3219 3420 96 0 93 0 21862
9 3219 2755 192 0 273 128 11416
10 3145 399 192 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8892 96 0 0 435 36677
2 3219 1558 96 0 434 60 6864
3 3182 1957 96 0 195 68 6582
4 3182 779 96 0 93 0 1533
5 3145 8056 96 0 273 120 48150
6 3145 779 96 0 93 0 1533
7 3182 779 192 0 93 0 1533
8 3219 3420 96 0 93 0 21741
9 3219 2755 192 0 273 128 11416
10 3145 399 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8816 96 0 0 255 36677
2 3182 1539 96 0 94 60 6864
3 3182 1938 96 0 195 68 6582
4 3219 779 96 0 93 0 1533
5 3108 8037 96 0 188 120 48030
6 3145 779 192 0 93 0 1533
7 3219 760 192 0 93 0 1533
8 3219 3420 96 0 93 0 21741
9 3219 2698 96 0 179 128 11416
10 3182 380 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8740 96 0 0 51 36839
2 3219 1520 96 0 94 60 6864
3 3182 1900 96 0 102 68 6582
4 3219 779 96 0 93 0 1460
5 3145 7980 96 0 94 60 48318
6 3145 760 192 0 93 0 1533
7 3219 760 192 0 93 0 1533
8 3219 3401 96 0 93 0 21983
9 3219 2660 96 0 94 68 11854
10 3182 380 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8721 96 0 0 51 36961
2 3219 1520 96 0 94 60 6864
3 3182 1900 96 0 102 68 6626
4 3219 760 96 0 93 0 1460
5 3145 7961 96 0 94 60 48444
6 3182 760 192 0 93 0 1533
7 3256 760 96 0 93 0 1533
8 3182 3401 96 0 93 0 21983
9 3219 2660 96 0 94 68 11854
10 3145 380 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8721 96 0 0 51 36961
2 3219 1520 96 0 94 60 6864
3 3182 1900 96 0 102 68 6626
4 3219 760 96 0 93 0 1460
5 3145 7961 96 0 94 60 48732
6 3145 760 96 0 93 0 1533
7 3219 760 96 0 93 0 1533
8 3182 3401 96 0 93 0 21983
9 3219 2660 96 0 94 68 12000
10 3182 380 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8721 96 0 0 51 37125
2 3182 1520 96 0 94 60 6864
3 3145 1900 96 0 102 68 6626
4 3182 760 96 0 93 0 1460
5 3182 7961 96 0 94 60 48858
6 3145 760 96 0 93 0 1533
7 3219 760 96 0 93 0 1533
8 3219 3401 96 0 93 0 21983
9 3219 2660 96 0 94 68 12301
10 3182 380 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8740 96 0 0 51 37129
2 3182 1520 96 0 94 60 6864
3 3145 1900 96 0 102 68 6544
4 3219 760 96 0 93 0 1460
5 3145 7980 96 0 94 60 48894
